timestamp,inference_id,batch_size,inference_time,throughput,gpu_util,gpu_mem,power,cpu_util,power_efficiency
1771094838.9550195,inference_48,32,0.03347989999974743,955.7973590196328,97.0,519.0,44.73,40.6,21.368150212824343
1771094838.9895706,inference_49,32,0.033146299999771145,965.416954538544,97.0,519.0,44.73,25.0,21.583209356998527
1771094839.0231102,inference_50,32,0.0331901999998081,964.1400172395772,97.0,519.0,44.99,18.8,21.43009595998171
1771094839.05713,inference_51,32,0.0331080999999358,966.5308489482045,97.0,519.0,44.99,29.0,21.483237362707367
1771094839.0908217,inference_52,32,0.03297849999989921,970.3291538456206,97.0,519.0,44.99,43.6,21.567662899435888
1771094839.1244357,inference_53,32,0.03273699999999735,977.4872468461554,97.0,519.0,45.01,16.3,21.717112793738178
1771094839.1588838,inference_54,32,0.03331269999989672,960.5946080653687,97.0,519.0,45.01,23.1,21.341804222736474
1771094839.1918664,inference_55,32,0.032748999999967054,977.1290726444225,97.0,519.0,45.01,35.9,21.709155135401524
1771094839.2245588,inference_56,32,0.032255000000077416,992.0942489512695,97.0,519.0,44.99,36.4,22.051439185402742
1771094839.2596273,inference_57,32,0.033794899999975314,946.8884358297664,97.0,519.0,44.99,32.1,21.046642272277538
1771094839.2940228,inference_58,32,0.03331909999997151,960.4100951114334,97.0,519.0,44.97,55.8,21.356684347596918
1771094839.3280754,inference_59,32,0.03187100000013743,1004.0475667491455,97.0,519.0,44.97,62.5,22.327052851882268
1771094839.3602858,inference_60,32,0.03131359999997585,1021.9201880341027,97.0,519.0,44.97,25.0,22.72448716998227
1771094839.392379,inference_61,32,0.03179550000004383,1006.4317277588302,97.0,519.0,44.97,39.4,22.380069552119863
1771094839.4249823,inference_62,32,0.031777299999703246,1007.008147334696,97.0,519.0,44.99,40.7,22.38293281472985
1771094839.459189,inference_63,32,0.03332779999982449,960.1593864632083,97.0,519.0,44.99,18.4,21.3416178364794
1771094839.4927342,inference_64,32,0.03242999999974927,986.7406722247118,97.0,519.0,44.99,36.4,21.932444370409243
1771094839.525245,inference_65,32,0.03198599999996077,1000.437691491254,96.0,519.0,44.97,26.7,22.246779886396574
1771094839.559963,inference_66,32,0.033588700000109384,952.7013549168556,96.0,519.0,44.97,28.8,21.1852647301947
1771094839.594238,inference_67,32,0.03418920000012804,935.9680834848479,96.0,519.0,44.97,48.5,20.813166188233218
1771094839.6307983,inference_68,32,0.035953800000243064,890.0310954553806,96.0,519.0,44.94,38.2,19.804875288281725
1771094839.6693585,inference_69,32,0.036835700000210636,868.7224621716708,96.0,519.0,44.94,40.0,19.330717894340697
1771094839.7073965,inference_70,32,0.03798270000015691,842.488817273859,96.0,519.0,44.94,26.8,18.74696967676589
1771094839.7460017,inference_71,32,0.037188700000115205,860.476435043464,97.0,519.0,44.77,50.0,19.21993377358642
1771094839.783582,inference_72,32,0.036846800000148505,868.4607618537032,97.0,519.0,44.77,29.2,19.398274778952494
1771094839.820848,inference_73,32,0.036404399999810266,879.0146246103982,97.0,519.0,44.65,33.3,19.686777706839827
1771094839.8568485,inference_74,32,0.03576740000016798,894.6694475933311,97.0,519.0,44.65,47.4,20.03738964374762
1771094839.8932862,inference_75,32,0.03537349999987782,904.6319985330975,97.0,519.0,44.65,31.1,20.260515084727828
1771094839.9292867,inference_76,32,0.03481469999996989,919.1519674168577,97.0,519.0,44.65,50.0,20.585710356480575
1771094839.96381,inference_77,32,0.034224300000005314,935.008166711811,97.0,519.0,44.81,45.2,20.866060404191273
1771094839.998808,inference_78,32,0.03378030000021681,947.297685331232,97.0,519.0,44.81,44.9,21.14031879784048
1771094840.033493,inference_79,32,0.03349220000018249,955.4463427253402,97.0,519.0,44.97,46.9,21.246305152887263
1771094840.0674646,inference_80,32,0.033260300000165444,962.1079785762854,97.0,519.0,44.97,36.0,21.39444026186981
1771094840.1011744,inference_81,32,0.03371999999990294,948.9916963253888,97.0,519.0,44.97,30.8,21.102772878038444
1771094840.1357071,inference_82,32,0.03328270000019984,961.460458430592,97.0,519.0,44.99,30.3,21.370536973340563
1771094840.1691768,inference_83,32,0.03278619999991861,976.0203988287584,97.0,519.0,44.99,43.9,21.694163121332704
1771094840.2022567,inference_84,32,0.03273600000011356,977.5171065459735,97.0,519.0,44.99,26.2,21.727430685618437
1771094840.2370327,inference_85,32,0.03334470000027068,959.672751583917,97.0,519.0,44.97,47.1,21.340288004979254
1771094840.2709858,inference_86,32,0.03299890000016603,969.7292940018908,97.0,519.0,44.97,48.3,21.563915810582408
1771094840.3038366,inference_87,32,0.03194480000001931,1001.7279807662171,97.0,519.0,44.97,29.0,22.275472109544523
1771094840.3376942,inference_88,32,0.03313799999978073,965.658760341956,97.0,519.0,44.96,31.6,21.4781752745097
1771094840.3712225,inference_89,32,0.03260839999984455,981.3422308409044,97.0,519.0,44.96,38.1,21.827006913721185
1771094840.4037743,inference_90,32,0.03214170000001104,995.5913968455,97.0,519.0,44.96,28.9,22.143936762577844
1771094840.4378974,inference_91,32,0.03306560000009995,967.7731539697835,97.0,519.0,44.96,23.5,21.52520360253077
1771094840.4714506,inference_92,32,0.0330087000002095,969.4413896880792,97.0,519.0,44.96,46.2,21.56230848950354
1771094840.5049386,inference_93,32,0.03303839999989577,968.5699065360595,97.0,519.0,44.96,28.1,21.542924967439046
1771094840.5412445,inference_94,32,0.03479609999976674,919.6432933637539,97.0,519.0,44.95,23.1,20.459250130450584
1771094840.575774,inference_95,32,0.03428170000006503,933.4426239054451,97.0,519.0,44.95,40.5,20.766243023480424
1771094840.6122818,inference_96,32,0.03492159999996147,916.33831210584,97.0,519.0,44.87,30.0,20.422070695472254
1771094840.6482425,inference_97,32,0.03500850000000355,914.0637273804006,97.0,519.0,44.87,44.1,20.37137792245154
1771094840.685774,inference_98,32,0.03684739999971498,868.4466203924164,97.0,519.0,44.87,22.7,19.35472744355731
1771094840.722316,inference_99,32,0.0357518999999229,895.0573256265824,97.0,519.0,44.72,21.6,20.01469869469102
